Name,Category,Beginning,Production,Purchase Order,Usage,Transfer,Adjustment,Ending,Unit
cayenne pepper,BB Kitchen,456.0,0.0,0.0,-1.31,0.0,0.0,454.69,gram (g)
Ceremonial Matcha,Bahan Baku Bar,100.0,0.0,0.0,-21.0,0.0,0.0,79.0,gram (g)
chedar cheese,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
chicken breast,BB Kitchen,775.0,0.0,5100.0,-5844.44,0.0,0.0,30.56,gram (g)
chicken leg boneless,BB Kitchen,0.0,0.0,1200.0,-1200.0,0.0,0.0,0.0,gram (g)
chili flakes,BB Kitchen,516.0,0.0,0.0,-8.0,0.0,0.0,508.0,gram (g)
choco mint batch,BB Kitchen,30.0,656.0,0.0,-90.0,0.0,0.0,596.0,gram (g)
cia seed,BB Kitchen,526.0,0.0,0.0,-178.79,0.0,0.0,347.21,gram (g)
Cocoa Powder,Bahan Baku Bar,742.0,0.0,0.0,-24.0,0.0,0.0,718.0,gram (g)
Cococonut Flake,Bahan Baku Bar,100.0,0.0,0.0,-63.0,0.0,0.0,37.0,gram (g)
Coconut Milk,Bahan Baku Bar,330.0,0.0,0.0,-250.0,0.0,0.0,80.0,millilitre (ml)
Coconut Water,Bahan Baku Bar,-100.0,0.0,0.0,-250.0,0.0,659.0,309.0,millilitre (ml)
Coke Normal,Bahan Baku Bar,34.0,0.0,0.0,-2.0,0.0,0.0,32.0,pieces (pcs)
Coke Zero,Bahan Baku Bar,33.0,0.0,0.0,-3.0,0.0,0.0,30.0,kaleng (klg)
cooked red rice,BB Kitchen,1879.0,1030.0,0.0,-3000.0,0.0,0.0,-91.0,gram (g)
cooking cream,BB Kitchen,630.0,0.0,0.0,-340.0,0.0,0.0,290.0,gram (g)
Cooking Cream For BAR,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,millilitre (ml)
cooking oil,BB Kitchen,2000.0,0.0,0.0,-690.0,0.0,0.0,1310.0,gram (g)
coriander fresh,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
coriander seed,BB Kitchen,950.0,0.0,0.0,-10.0,0.0,0.0,940.0,gram (g)
country white,BB Kitchen,12.0,0.0,51.0,-17.0,0.0,0.0,46.0,pieces (pcs)
Cream For Bar,Bahan Baku Bar,0.0,0.0,0.0,-50.0,0.0,0.0,-50.0,gram (g)
Cucumber Fresh,Bahan Baku Bar,270.0,0.0,1500.0,-40.0,0.0,0.0,1730.0,gram (g)
cumin,BB Kitchen,967.0,0.0,0.0,0.0,0.0,0.0,967.0,gram (g)
dark chocolate,BB Kitchen,1316.0,0.0,0.0,-150.0,0.0,0.0,1166.0,gram (g)
dark rye,BB Kitchen,11.0,0.0,0.0,-3.0,0.0,0.0,8.0,pieces (pcs)
dates,BB Kitchen,540.0,0.0,0.0,-150.0,0.0,0.0,390.0,gram (g)
Dates ,Bahan Baku Bar,178.0,0.0,0.0,0.0,0.0,0.0,178.0,gram (g)
Dates For Bar,Bahan Baku Bar,0.0,0.0,176.0,0.0,0.0,0.0,176.0,gram (g)
dijon mustard,BB Kitchen,760.0,0.0,0.0,-120.0,0.0,0.0,640.0,gram (g)
DragonFruit Fresh,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
dry kidney beans,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
dry rub,BB Kitchen,0.0,450.0,0.0,-5.0,0.0,0.0,445.0,gram (g)
dry rub batch,BB Kitchen,450.0,0.0,0.0,-263.33,0.0,0.0,186.67,gram (g)
edamame,BB Kitchen,330.0,0.0,2000.0,-540.0,0.0,0.0,1790.0,gram (g)
English Breakfast Tea,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
Expat NOMAD Blend,Bahan Baku Bar,790.0,0.0,5000.0,-516.0,0.0,0.0,5274.0,gram (g)
fennel seed,BB Kitchen,455.0,0.0,0.0,-5.0,0.0,0.0,450.0,gram (g)
feta cheese,BB Kitchen,950.0,0.0,0.0,-200.0,0.0,0.0,750.0,gram (g)
flaxseed,BB Kitchen,994.0,0.0,0.0,0.0,0.0,0.0,994.0,gram (g)
flour,BB Kitchen,0.0,0.0,1000.0,-600.0,0.0,0.0,400.0,gram (g)
fresh banana,BB Kitchen,-1700.0,0.0,0.0,-50.0,0.0,0.0,-1750.0,gram (g)
fresh egg,BB Kitchen,63.0,0.0,90.0,-56.0,0.0,0.0,97.0,pieces (pcs)
fresh strawberry,BB Kitchen,250.0,0.0,0.0,-210.0,0.0,0.0,40.0,gram (g)
Frozen Banana,Bahan Baku Bar,1900.0,0.0,2000.0,-1870.0,0.0,0.0,2030.0,gram (g)
Frozen Blueberry,Bahan Baku Bar,680.0,0.0,1000.0,-420.0,0.0,0.0,1260.0,gram (g)
Frozen DragonFruit,Bahan Baku Bar,120.0,0.0,1000.0,-80.0,0.0,0.0,1040.0,gram (g)
Frozen Mango,Bahan Baku Bar,1930.0,0.0,0.0,-410.0,0.0,0.0,1520.0,gram (g)
Frozen Pineapple,Bahan Baku Bar,924.0,0.0,0.0,-300.0,0.0,0.0,624.0,gram (g)
Frozen Strawberry,Bahan Baku Bar,1470.0,0.0,0.0,-740.0,0.0,0.0,730.0,gram (g)
garlic,BB Kitchen,74.0,0.0,250.0,-145.0,0.0,0.0,179.0,gram (g)
GF flour,BB Kitchen,1368.0,0.0,0.0,-125.0,0.0,0.0,1243.0,gram (g)
gochujang,BB Kitchen,150.0,0.0,1000.0,-142.35,0.0,-120.0,887.65,gram (g)
gochujang mayo,BB Kitchen,100.0,930.0,0.0,-670.0,0.0,0.0,360.0,gram (g)
granola,BB Kitchen,800.0,0.0,0.0,-380.0,0.0,0.0,420.0,gram (g)
Granola For BAR,Bahan Baku Bar,846.0,0.0,0.0,0.0,0.0,0.0,846.0,gram (g)
greek yougurt,BB Kitchen,-1550.0,0.0,0.0,-50.0,0.0,0.0,-1600.0,gram (g)
green tea batch,BB Kitchen,30.0,715.0,0.0,-30.0,0.0,0.0,715.0,gram (g)
Greenfields FreshMilk,Bahan Baku Bar,23460.0,0.0,0.0,-3480.0,0.0,0.0,19980.0,millilitre (ml)
Hazelnut Syrup,Bahan Baku Bar,480.0,0.0,0.0,0.0,0.0,0.0,480.0,millilitre (ml)
homemade jam,BB Kitchen,0.0,0.0,0.0,-140.0,0.0,731.0,591.0,gram (g)
honey,BB Kitchen,210.0,0.0,0.0,-128.79,0.0,0.0,81.21,gram (g)
Honey Blossom,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,millilitre (ml)
honey mustard,BB Kitchen,350.0,0.0,0.0,-100.0,0.0,0.0,250.0,gram (g)
Ice Cube,Bahan Baku Bar,-1500.0,0.0,7000.0,-2960.0,0.0,0.0,2540.0,gram (g)
kale,BB Kitchen,450.0,0.0,500.0,-690.0,0.0,0.0,260.0,gram (g)
kewpie mayo,BB Kitchen,2318.0,0.0,0.0,-645.51,0.0,0.0,1672.49,gram (g)
kimchi,BB Kitchen,4830.0,0.0,0.0,-1790.0,0.0,0.0,3040.0,gram (g)
lady finger,BB Kitchen,12.0,0.0,0.0,0.0,0.0,0.0,12.0,pieces (pcs)
Lemon Fresh,Bahan Baku Bar,791.0,0.0,0.0,-187.68,0.0,0.0,603.32,gram (g)
lemon raisin batch,BB Kitchen,135.0,0.0,0.0,-60.0,0.0,0.0,75.0,gram (g)
Lemongrass looseleaf,Bahan Baku Bar,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
Lime Fresh,Bahan Baku Bar,186.0,0.0,500.0,0.0,0.0,0.0,686.0,gram (g)
Loose leaf Oriental Greentea,Bahan Baku Bar,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
Looseleaf Chamomile,Bahan Baku Bar,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
Looseleaf English breakfast,Bahan Baku Bar,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
Looseleaf Tropical Mango,Bahan Baku Bar,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
Mango Fresh,Bahan Baku Bar,667.0,0.0,0.0,0.0,0.0,0.0,667.0,gram (g)
maple syrup,BB Kitchen,435.0,0.0,0.0,-15.0,0.0,0.0,420.0,gram (g)
marinated chicken breast,BB Kitchen,0.0,4900.0,0.0,-600.0,0.0,0.0,4300.0,gram (g)
marinated chicken leg,BB Kitchen,0.0,1100.0,0.0,0.0,0.0,0.0,1100.0,gram (g)
marinated snaper,BB Kitchen,0.0,750.0,0.0,0.0,0.0,0.0,750.0,gram (g)
mascarpone,BB Kitchen,430.0,0.0,0.0,0.0,0.0,0.0,430.0,gram (g)
mediteranian roast,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
minced beef,BB Kitchen,0.0,0.0,1000.0,-1000.0,0.0,0.0,0.0,gram (g)
Mint Leaf,Bahan Baku Bar,12.0,0.0,100.0,-11.0,0.0,0.0,101.0,gram (g)
mirin,BB Kitchen,1710.0,0.0,0.0,-43.72,0.0,0.0,1666.28,gram (g)
mix cheese,BB Kitchen,869.0,0.0,0.0,-700.0,0.0,0.0,169.0,gram (g)
mix sesame,BB Kitchen,440.0,0.0,0.0,0.0,0.0,0.0,440.0,gram (g)
mixed sesame,BB Kitchen,440.0,0.0,2000.0,-258.18,0.0,0.0,2181.82,gram (g)
mozzarela cheese,BB Kitchen,1242.0,0.0,0.0,0.0,0.0,0.0,1242.0,gram (g)
Noccio Peanut Butter ,Bahan Baku Bar,300.0,0.0,1000.0,-225.0,0.0,0.0,1075.0,gram (g)
noodle,BB Kitchen,130.0,0.0,0.0,0.0,0.0,0.0,130.0,gram (g)
NUTRILATE CHOCOLATE Protein,Bahan Baku Bar,1011.0,0.0,0.0,-140.0,0.0,0.0,871.0,gram (g)
NUTRILITE Berry Protein,Bahan Baku Bar,900.0,0.0,0.0,-80.0,0.0,0.0,820.0,gram (g)
NUTRILITE Collagen,Bahan Baku Bar,20.0,0.0,0.0,-5.0,0.0,0.0,15.0,gram (g)
NUTRILITE GREENTEA Protein,Bahan Baku Bar,382.0,0.0,0.0,-70.0,0.0,0.0,312.0,gram (g)
NUTRILITE PLANT BASED Protein,Bahan Baku Bar,383.0,0.0,0.0,-10.0,0.0,0.0,373.0,gram (g)
Oatmilk Oatside,Bahan Baku Bar,0.0,0.0,6000.0,-3140.0,0.0,2060.0,4920.0,gram (g)
OATSIDE MILK,Bahan Baku Bar,2420.0,0.0,0.0,-360.0,0.0,0.0,2060.0,millilitre (ml)
oive oil,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
olive oil,BB Kitchen,835.0,0.0,0.0,-17.81,0.0,0.0,817.19,gram (g)
Orange Fresh,Bahan Baku Bar,934.0,0.0,2000.0,-1050.0,0.0,0.0,1884.0,gram (g)
oregano dry,BB Kitchen,463.0,0.0,0.0,-5.0,0.0,0.0,458.0,gram (g)
Organic GreenTea POT,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
overnight oats,BB Kitchen,460.0,2125.0,0.0,-1750.0,0.0,0.0,835.0,gram (g)
oyster sc,BB Kitchen,200.0,0.0,0.0,0.0,0.0,0.0,200.0,gram (g)
pain au choco,BB Kitchen,0.0,0.0,5.0,-1.0,0.0,0.0,4.0,pieces (pcs)
pain au raisin,BB Kitchen,0.0,0.0,5.0,-1.0,0.0,0.0,4.0,pieces (pcs)
pancake,BB Kitchen,-1010.0,383.0,0.0,-160.0,0.0,1010.0,223.0,gram (g)
parmesan cheese,BB Kitchen,150.0,0.0,1000.0,-230.0,0.0,0.0,920.0,gram (g)
parsley,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
peanut butter,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
pesto,BB Kitchen,0.0,0.0,0.0,-30.0,0.0,290.0,260.0,gram (g)
pickled cabbage,BB Kitchen,500.0,0.0,0.0,-550.0,0.0,550.0,500.0,gram (g)
pickled red onion,BB Kitchen,900.0,0.0,0.0,-60.0,0.0,0.0,840.0,gram (g)
Pineapple Fresh,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
Pistachio Syrup,Bahan Baku Bar,390.0,0.0,0.0,0.0,0.0,0.0,390.0,millilitre (ml)
Polaris Soda Water,Bahan Baku Bar,19.0,0.0,0.0,-5.0,0.0,0.0,14.0,kaleng (klg)
protein powder,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
pumpkin,BB Kitchen,0.0,0.0,1000.0,-500.0,0.0,0.0,500.0,gram (g)
purple gnoochi,BB Kitchen,0.0,2600.0,0.0,-400.0,0.0,400.0,2600.0,gram (g)
purple protein ball,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
purple sweet potato,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
quinoa,BB Kitchen,675.0,0.0,0.0,-130.0,0.0,0.0,545.0,gram (g)
quinoa cooked,BB Kitchen,0.0,280.0,0.0,-30.0,0.0,0.0,250.0,gram (g)
raisin,BB Kitchen,770.0,0.0,0.0,0.0,0.0,0.0,770.0,gram (g)
red bean chili,BB Kitchen,2461.0,0.0,0.0,-200.0,0.0,0.0,2261.0,gram (g)
red cabbage,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
red onion,BB Kitchen,310.0,0.0,0.0,-176.2,0.0,0.0,133.8,gram (g)
red paprika,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
red rice raw,BB Kitchen,3392.0,0.0,0.0,-386.25,0.0,0.0,3005.75,gram (g)
red velvet,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
roasted pumpkin,BB Kitchen,250.0,500.0,0.0,-470.0,0.0,0.0,280.0,gram (g)
rolled oat,BB Kitchen,906.0,0.0,2000.0,-1115.15,0.0,0.0,1790.85,gram (g)
sake,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
salad oil,BB Kitchen,0.0,0.0,0.0,-120.0,0.0,2900.0,2780.0,gram (g)
salt,BB Kitchen,940.0,0.0,0.0,-188.1,0.0,0.0,751.9,gram (g)
Salted Caramel Syrup,Bahan Baku Bar,531.0,0.0,0.0,0.0,0.0,0.0,531.0,millilitre (ml)
sauted kale,BB Kitchen,-3.0,5.0,0.0,-5.0,0.0,3.0,0.0,pieces (pcs)
sauted mushroom,BB Kitchen,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,pieces (pcs)
scramble egg,BB Kitchen,-40.0,10.0,0.0,-10.0,0.0,40.0,0.0,pieces (pcs)
shokupan,BB Kitchen,14.0,0.0,21.0,-6.0,0.0,0.0,29.0,pieces (pcs)
slice frozen dragon fruit,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
smashed avo,BB Kitchen,-1290.0,310.0,0.0,-310.0,0.0,1290.0,0.0,gram (g)
smoked paprika,BB Kitchen,393.0,0.0,0.0,-75.0,0.0,0.0,318.0,gram (g)
snaper fillet,BB Kitchen,0.0,0.0,1000.0,-1000.0,0.0,0.0,0.0,gram (g)
soba noodle,BB Kitchen,400.0,0.0,0.0,-70.0,0.0,0.0,330.0,gram (g)
Sourbucha Disgistive Wellness,Bahan Baku Bar,3.0,0.0,2.0,0.0,0.0,0.0,5.0,botol (btl)
Sourbucha Lychee,Bahan Baku Bar,2.0,0.0,3.0,-1.0,0.0,0.0,4.0,botol (btl)
Sourbucha Peach,Bahan Baku Bar,2.0,0.0,4.0,-1.0,0.0,0.0,5.0,botol (btl)
Sourbucha Summer Berries,Bahan Baku Bar,0.0,0.0,4.0,0.0,0.0,0.0,4.0,botol (btl)
soy chili,BB Kitchen,200.0,238.0,0.0,-300.0,0.0,0.0,138.0,gram (g)
soy oyster,BB Kitchen,-150.0,0.0,0.0,0.0,0.0,250.0,100.0,gram (g)
soy sauce,BB Kitchen,320.0,0.0,0.0,-278.18,0.0,0.0,41.82,gram (g)
spagheti,BB Kitchen,1917.0,0.0,0.0,-560.0,0.0,0.0,1357.0,gram (g)
spinach,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
Sprite,Bahan Baku Bar,35.0,0.0,0.0,0.0,0.0,0.0,35.0,kaleng (klg)
Strawberry Fresh,Bahan Baku Bar,250.0,0.0,0.0,-50.0,0.0,0.0,200.0,gram (g)
STRAWBERRY JAM,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,millilitre (ml)
strawbery jam,BB Kitchen,-60.0,0.0,0.0,0.0,0.0,0.0,-60.0,gram (g)
sugar,BB Kitchen,2000.0,0.0,0.0,-15.0,0.0,0.0,1985.0,gram (g)
Sunkist,Bahan Baku Bar,1700.0,0.0,1000.0,0.0,0.0,0.0,2700.0,gram (g)
sweet potato,BB Kitchen,0.0,0.0,3000.0,-3000.0,0.0,0.0,0.0,gram (g)
sweet soy,BB Kitchen,340.0,0.0,0.0,-30.0,0.0,0.0,310.0,gram (g)
taro,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
tataki tuna,BB Kitchen,0.0,22.0,0.0,-22.0,0.0,0.0,0.0,pieces (pcs)
Tea Bag oriental greetea,Bahan Baku Bar,0.0,0.0,100.0,0.0,0.0,0.0,100.0,pieces (pcs)
Teabag Chamomile,Bahan Baku Bar,0.0,0.0,100.0,0.0,0.0,0.0,100.0,pieces (pcs)
Teabag English breakfast,Bahan Baku Bar,0.0,0.0,100.0,-1.0,0.0,0.0,99.0,pieces (pcs)
Teabag Tropical Mango,Bahan Baku Bar,0.0,0.0,100.0,0.0,0.0,0.0,100.0,pieces (pcs)
tempeh crips,BB Kitchen,0.0,0.0,250.0,0.0,0.0,0.0,250.0,gram (g)
thyme fresh,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
tiramisu based,BB Kitchen,0.0,0.0,0.0,0.0,0.0,8.0,8.0,pieces (pcs)
tofu,BB Kitchen,1018.0,0.0,1250.0,-1200.0,0.0,0.0,1068.0,gram (g)
togarashi,BB Kitchen,264.0,0.0,0.0,-1.31,0.0,0.0,262.69,gram (g)
tomato,BB Kitchen,1000.0,0.0,0.0,-50.0,0.0,0.0,950.0,gram (g)
tomato cerry red,BB Kitchen,894.0,0.0,0.0,0.0,0.0,0.0,894.0,gram (g)
tomato paste,BB Kitchen,0.0,0.0,0.0,0.0,0.0,180.0,180.0,gram (g)
tomato sc,BB Kitchen,850.0,0.0,0.0,-280.0,0.0,0.0,570.0,gram (g)
tortila flour,BB Kitchen,10.0,0.0,10.0,-4.0,0.0,0.0,16.0,pieces (pcs)
tuna,BB Kitchen,1800.0,0.0,3000.0,-2481.82,0.0,0.0,2318.18,gram (g)
tuna chunk,BB Kitchen,450.0,0.0,0.0,-196.51,0.0,0.0,253.49,gram (g)
tuna mix,BB Kitchen,0.0,300.0,0.0,-300.0,0.0,0.0,0.0,gram (g)
tuna tataki,BB Kitchen,0.0,200.0,0.0,-300.0,0.0,100.0,0.0,pieces (pcs)
unsalted butter,BB Kitchen,3663.0,0.0,0.0,-335.0,0.0,0.0,3328.0,gram (g)
Vanilla Ice Cream,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
Vanilla Syrup,Bahan Baku Bar,125.0,0.0,0.0,0.0,0.0,0.0,125.0,millilitre (ml)
Water,Bahan Baku Bar,-2080.0,0.0,0.0,-5807.889999999999,0.0,102160.0,94272.11,millilitre (ml)
Watermelon Fresh,Bahan Baku Bar,0.0,0.0,0.0,-500.0,0.0,3450.0,2950.0,gram (g)
white rice cooked,BB Kitchen,450.0,0.0,0.0,0.0,0.0,0.0,450.0,gram (g)
white rice raw,BB Kitchen,627.0,0.0,0.0,0.0,0.0,0.0,627.0,gram (g)
white sesame seed,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
White Sugar Sachet,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pieces (pcs)
white wine vinegar,BB Kitchen,450.0,0.0,0.0,0.0,0.0,0.0,450.0,gram (g)
Yakult,Bahan Baku Bar,0.0,0.0,0.0,0.0,0.0,4.0,4.0,pieces (pcs)
Young Coconut ( WHOLE ),Bahan Baku Bar,0.0,0.0,30.0,-29.0,0.0,4.0,5.0,whole
zuccini,BB Kitchen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gram (g)
